datetime,frame_number,x,y,z
2024-08-29 23:57:24.799261,94,[-1.6159456 -1.6109349 -1.605924  ...  0.         0.         0.       ],[-1.1763272 -1.1763272 -1.1763272 ...  0.         0.         0.       ],[3.0430002 3.0430002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.839257,95,[-1.607449  -1.6024647 -1.59748   ...  0.         0.         0.       ],[-1.170142 -1.170142 -1.170142 ...  0.        0.        0.      ],[3.0270002 3.0270002 3.0270002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.877158,96,[-1.6403733 -1.6352868 -1.6302003 ...  0.         0.         0.       ],[-1.1941093 -1.1941093 -1.1941093 ...  0.         0.         0.       ],[3.0890002 3.0890002 3.0890002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.919173,98,[-1.64887   -1.6437571 -1.6470879 ...  0.         0.         0.       ],[-1.2002944 -1.2002944 -1.2064794 ...  0.         0.         0.       ],[3.1050003 3.1050003 3.121     ... 0.        0.        0.       ]
2024-08-29 23:57:24.962805,99,[-1.665863  -1.6606976 -1.6555319 ...  0.         0.         0.       ],[-1.2126645 -1.2126645 -1.2126645 ...  0.         0.         0.       ],[3.137 3.137 3.137 ... 0.    0.    0.   ]
2024-08-29 23:57:25.002980,100,[-1.64887   -1.6437571 -1.6386441 ...  0.         0.         0.       ],[-1.2002944 -1.2002944 -1.2002944 ...  0.         0.         0.       ],[3.1050003 3.1050003 3.1050003 ... 0.        0.        0.       ]
2024-08-29 23:57:25.042770,101,[-1.7099392 -1.704637  -1.7083063 ...  0.         0.         0.       ],[-1.2447498 -1.2447498 -1.2513214 ...  0.         0.         0.       ],[3.2200003 3.2200003 3.2370002 ... 0.        0.        0.       ]
2024-08-29 23:57:25.083531,103,[-1.7561394 -1.7506939 -1.7547476 ...  0.         0.         0.       ],[-1.2783811 -1.2783811 -1.2853394 ...  0.         0.         0.       ],[3.3070002 3.3070002 3.325     ... 0.        0.        0.       ]
2024-08-29 23:57:25.123843,104,[-1.7752566 -1.769752  -1.7742742 ...  0.         0.         0.       ],[-1.2922976 -1.2922976 -1.2996424 ...  0.         0.         0.       ],[3.3430002 3.3430002 3.3620002 ... 0.        0.        0.       ]
2024-08-29 23:57:25.163896,105,[-1.8357949 -1.8301026 -1.8244098 ...  0.         0.         0.       ],[-1.3363664 -1.3363664 -1.3363664 ...  0.         0.         0.       ],[3.4570003 3.4570003 3.4570003 ... 0.        0.        0.       ]
2024-08-29 23:57:25.205683,106,[-1.9005815 -1.8946881 -1.9004049 ...  0.         0.         0.       ],[-1.3835278 -1.3835278 -1.3920321 ...  0.         0.         0.       ],[3.5790002 3.5790002 3.601     ... 0.        0.        0.       ]
2024-08-29 23:57:25.248774,108,[-1.8676572 -1.8618659 -1.8560745 ...  0.         0.         0.       ],[-1.3595605 -1.3595605 -1.3595605 ...  0.         0.         0.       ],[3.5170002 3.5170002 3.5170002 ... 0.        0.        0.       ]
2024-08-29 23:57:25.290771,109,[-1.9350989 -1.9290985 -1.9347082 ...  0.         0.         0.       ],[-1.4086547 -1.4086547 -1.4171591 ...  0.         0.         0.       ],[3.6440003 3.6440003 3.6660001 ... 0.        0.        0.       ]
2024-08-29 23:57:25.334498,110,[-1.9701474 -1.9640383 -1.957929  ...  0.         0.         0.       ],[-1.4341682 -1.4341682 -1.4341682 ...  0.         0.         0.       ],[3.7100003 3.7100003 3.7100003 ... 0.        0.        0.       ]
2024-08-29 23:57:25.378020,112,[-2.0848513 -2.0783865 -2.0719216 ...  0.         0.         0.       ],[-1.5176668 -1.5176668 -1.5176668 ...  0.         0.         0.       ],[3.926 3.926 3.926 ... 0.    0.    0.   ]
2024-08-29 23:57:25.425430,113,[-2.1257412 -2.1191497 -2.126807  ...  0.         0.         0.       ],[-1.5474327 -1.5474327 -1.55787   ...  0.         0.         0.       ],[4.0030003 4.0030003 4.03      ... 0.        0.        0.       ]
2024-08-29 23:57:25.469799,114,[-2.0981271 -2.0916214 -2.0851152 ...  0.         0.         0.       ],[-1.5273311 -1.5273311 -1.5273311 ...  0.         0.         0.       ],[3.9510002 3.9510002 3.9510002 ... 0.        0.        0.       ]
2024-08-29 23:57:25.519554,116,[-2.1119342 -2.1053855 -2.112558  ...  0.         0.         0.       ],[-1.5373819 -1.5373819 -1.5474327 ...  0.         0.         0.       ],[3.9770002 3.9770002 4.0030003 ... 0.        0.        0.       ]
2024-08-29 23:57:25.562803,117,[-2.1257412 -2.1191497 -2.112558  ...  0.         0.         0.       ],[-1.5474327 -1.5474327 -1.5474327 ...  0.         0.         0.       ],[4.0030003 4.0030003 4.0030003 ... 0.        0.        0.       ]
2024-08-29 23:57:25.606517,118,[-2.1984932 -2.1916761 -2.1848588 ...  0.         0.         0.       ],[-1.6003926 -1.6003926 -1.6003926 ...  0.         0.         0.       ],[4.1400003 4.1400003 4.1400003 ... 0.        0.        0.       ]
2024-08-29 23:57:25.656450,120,[-2.3078868 -2.3007305 -2.2777414 ...  0.         0.         0.       ],[-1.6800256 -1.6800256 -1.6684284 ...  0.         0.         0.       ],[4.346 4.346 4.316 ... 0.    0.    0.   ]
2024-08-29 23:57:25.696232,121,[-2.2595625 -2.2525558 -2.2455492 ...  0.         0.         0.       ],[-1.6448479 -1.6448479 -1.6448479 ...  0.         0.         0.       ],[4.255 4.255 4.255 ... 0.    0.    0.   ]
2024-08-29 23:57:25.736381,122,[-2.3248801 -2.317671  -2.3268218 ...  0.         0.         0.       ],[-1.6923958 -1.6923958 -1.7043794 ...  0.         0.         0.       ],[4.3780003 4.3780003 4.4090004 ... 0.        0.        0.       ]
2024-08-29 23:57:25.783026,124,[-2.168755  -2.1620302 -2.1553051 ...  0.         0.         0.       ],[-1.5787446 -1.5787446 -1.5787446 ...  0.         0.         0.       ],[4.084 4.084 4.084 ... 0.    0.    0.   ]
2024-08-29 23:57:25.823787,125,[-2.1984932 -2.1916761 -2.1996355 ...  0.         0.         0.       ],[-1.6003926 -1.6003926 -1.6112164 ...  0.         0.         0.       ],[4.1400003 4.1400003 4.168     ... 0.        0.        0.       ]
2024-08-29 23:57:25.866126,126,[-2.2287621 -2.2218513 -2.21494   ...  0.         0.         0.       ],[-1.6224269 -1.6224269 -1.6224269 ...  0.         0.         0.       ],[4.197 4.197 4.197 ... 0.    0.    0.   ]
2024-08-29 23:57:25.907026,127,[-2.3413422 -2.3340821 -2.3268218 ...  0.         0.         0.       ],[-1.7043794 -1.7043794 -1.7043794 ...  0.         0.         0.       ],[4.4090004 4.4090004 4.4090004 ... 0.        0.        0.       ]
2024-08-29 23:57:25.951190,129,[-2.3413422 -2.3340821 -2.3268218 ...  0.         0.         0.       ],[-1.7043794 -1.7043794 -1.7043794 ...  0.         0.         0.       ],[4.4090004 4.4090004 4.4090004 ... 0.        0.        0.       ]
